X	Y	V_x	V_y
-2.26590	-0.80901	20.18729	-17.92613
-2.26388	-0.81081	20.18742	-17.92607
-2.26186	-0.81260	20.18755	-17.92602
-2.25984	-0.81439	20.18769	-17.92596
-2.25782	-0.81618	20.18782	-17.92591
-2.25581	-0.81798	20.18795	-17.92586
-2.25379	-0.81977	20.18809	-17.92580
-2.25177	-0.82156	20.18822	-17.92575
-2.24975	-0.82335	20.18835	-17.92569
-2.24773	-0.82515	20.18849	-17.92564
-2.24571	-0.82694	20.18862	-17.92558
-2.24369	-0.82873	20.18875	-17.92552
-2.24167	-0.83052	20.18889	-17.92547
-2.23966	-0.83232	20.18902	-17.92541
-2.23764	-0.83411	20.18915	-17.92536
-2.23562	-0.83590	20.18928	-17.92530
-2.23360	-0.83769	20.18942	-17.92524
-2.23158	-0.83949	20.18955	-17.92519
-2.22956	-0.84128	20.18968	-17.92513
-2.22754	-0.84307	20.18981	-17.92507
-2.22552	-0.84486	20.18995	-17.92502
-2.22350	-0.84666	20.19008	-17.92496
-2.22148	-0.84845	20.19021	-17.92490
-2.21947	-0.85024	20.19034	-17.92484
-2.21745	-0.85203	20.19048	-17.92479
-2.21543	-0.85383	20.19061	-17.92473
-2.21341	-0.85562	20.19074	-17.92467
-2.21139	-0.85741	20.19087	-17.92461
-2.20937	-0.85920	20.19100	-17.92455
-2.20735	-0.86100	20.19114	-17.92449
-2.20533	-0.86279	20.19127	-17.92443
-2.20331	-0.86458	20.19140	-17.92437
-2.20129	-0.86637	20.19153	-17.92431
-2.19927	-0.86817	20.19166	-17.92425
-2.19726	-0.86996	20.19179	-17.92419
-2.19524	-0.87175	20.19193	-17.92413
-2.19322	-0.87354	20.19206	-17.92407
-2.19120	-0.87534	20.19219	-17.92401
-2.18918	-0.87713	20.19232	-17.92395
-2.18716	-0.87892	20.19245	-17.92389
-2.18514	-0.88071	20.19258	-17.92383
-2.18312	-0.88251	20.19271	-17.92377
-2.18110	-0.88430	20.19284	-17.92371
-2.17908	-0.88609	20.19297	-17.92365
